$t$,$x$,$y$
0.1,-3.8021628856658936,4.02490234375
0.2,-3.606011152267456,4.062442779541016
0.30000000000000004,-3.406644344329834,4.062160015106201
0.4,-3.225054979324341,4.126524925231934
0.5,-3.0815608501434326,4.2654194831848145
0.6000000000000001,-2.9013419151306152,4.34422492980957
0.7000000000000001,-2.7050652503967285,4.317224025726318
0.8,-2.5091402530670166,4.28554630279541
0.9,-2.3294825553894043,4.213027000427246
1.0,-2.1632606983184814,4.1054768562316895
1.1,-1.975657343864441,4.03885555267334
1.2000000000000002,-1.7828110456466675,3.987316131591797
1.3,-1.5896930694580078,3.954599380493164
1.4000000000000001,-1.4347821474075317,3.8400561809539795
1.5,-1.3400919437408447,3.6642913818359375
1.6,-1.2190871238708496,3.5058209896087646
1.7000000000000002,-1.0640991926193237,3.3802056312561035
1.8,-0.8723834753036499,3.361163377761841
1.9000000000000001,-0.7990500926971436,3.4435510635375977
2.0,-0.8225987553596497,3.5513052940368652
2.1,-0.9236152768135071,3.595590353012085
2.2,-1.0188186168670654,3.539896249771118
2.3000000000000003,-1.0375819206237793,3.3509888648986816
2.4000000000000004,-0.93446284532547,3.1808485984802246
2.5,-0.7962417602539062,3.036694049835205
2.6,-0.6454136967658997,2.9057931900024414
2.7,-0.5400686860084534,2.798906087875366
2.8000000000000003,-0.5047705769538879,2.6095080375671387
2.9000000000000004,-0.5166077613830566,2.4702975749969482
3.0,-0.43433040380477905,2.291639566421509
3.1,-0.33086204528808594,2.253432273864746
3.2,-0.23913447558879852,2.3146822452545166
3.3000000000000003,-0.23477061092853546,2.4248931407928467
3.4000000000000004,-0.38603270053863525,2.54421329498291
3.5,-0.5741147398948669,2.5384442806243896
3.6,-0.7285829186439514,2.4473683834075928
3.7,-0.8885886669158936,2.3291032314300537
3.8000000000000003,-1.0790590047836304,2.27163028717041
3.9000000000000004,-1.2738879919052124,2.228350877761841
4.0,-1.464247703552246,2.258028268814087
4.1000000000000005,-1.5764297246932983,2.4190196990966797
4.2,-1.7068369388580322,2.5608346462249756
4.3,-1.9034181833267212,2.586592197418213
4.4,-2.093134880065918,2.5400328636169434
4.5,-2.270596981048584,2.5097720623016357
4.6000000000000005,-2.421574115753174,2.54960036277771
4.7,-2.5404160022735596,2.7023496627807617
4.800000000000001,-2.640989065170288,2.8713066577911377
4.9,-2.7995407581329346,2.992737054824829
5.0,-2.955260753631592,3.0837652683258057
5.1000000000000005,-3.0655572414398193,3.0833146572113037
5.2,-3.130023241043091,2.9938182830810547
5.300000000000001,-3.0955111980438232,2.88905930519104
5.4,-2.9639041423797607,2.846891164779663
5.5,-2.8551807403564453,2.9123363494873047
5.6000000000000005,-2.773279905319214,3.092942714691162
5.7,-2.7664642333984375,3.2918169498443604
5.800000000000001,-2.70284366607666,3.473668336868286
5.9,-2.5775609016418457,3.612330436706543
6.0,-2.494197130203247,3.7149267196655273
6.1000000000000005,-2.3606390953063965,3.858077049255371
6.2,-2.194409132003784,3.939775228500366
6.300000000000001,-2.012138605117798,3.8773655891418457
6.4,-1.9424982070922852,3.6956655979156494
6.5,-1.8615583181381226,3.5208334922790527
6.6000000000000005,-1.7382118701934814,3.365750551223755
6.7,-1.5860793590545654,3.247542142868042
6.800000000000001,-1.495205283164978,3.183637857437134
6.9,-1.41378653049469,3.0015299320220947
7.0,-1.3011451959609985,2.839991807937622
7.1000000000000005,-1.2060322761535645,2.6997861862182617
7.2,-1.1434402465820312,2.5219507217407227
7.300000000000001,-1.106343388557434,2.326935291290283
7.4,-1.0377895832061768,2.1512324810028076
7.5,-0.9881057739257812,2.04702091217041
7.6000000000000005,-1.0002907514572144,1.9342374801635742
7.7,-1.1401184797286987,1.8017016649246216
7.800000000000001,-1.3295308351516724,1.8369221687316895
7.9,-1.4968535900115967,1.9458764791488647
8.0,-1.6056782007217407,2.1048567295074463
8.1,-1.7145028114318848,2.2638370990753174
8.200000000000001,-1.8456707000732422,2.4096932411193848
8.3,-1.9922517538070679,2.534719467163086
8.4,-2.1850717067718506,2.582343101501465
8.5,-2.380563974380493,2.565355062484741
8.6,-2.51959228515625,2.4275903701782227
8.700000000000001,-2.532613754272461,2.315758466720581
8.8,-2.4640159606933594,2.2293882369995117
8.9,-2.3538200855255127,2.2341179847717285
9.0,-2.2814273834228516,2.343316078186035
9.1,-2.3487648963928223,2.5238242149353027
9.200000000000001,-2.4940571784973145,2.6597483158111572
9.3,-2.5579185485839844,2.841515302658081
9.4,-2.6217799186706543,3.023282289505005
9.5,-2.730177879333496,3.189203977584839
9.600000000000001,-2.721360206604004,3.3838565349578857
9.700000000000001,-2.6454684734344482,3.568591594696045
9.8,-2.570390224456787,3.7536518573760986
9.9,-2.4423041343688965,3.903902530670166
10.0,-2.250978946685791,3.92653489112854
